Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,10.45,2901.639,35.375,2
1,9.05,2919.9365,35.375,2
2,9.5,3260.6215,35.375,2
3,32.25,3134.0474999999997,35.375,2
4,6.0,3067.185,35.375,2
5,10.0,3074.841,35.375,2
6,7.0,2951.833,35.375,2
7,5.9,3105.482,35.375,2
8,15.6,2908.495,35.375,2
9,13.45,3047.2245000000003,35.375,2
10,10.0,3151.4705000000004,35.375,2
11,32.5,3143.817,35.375,2
12,33.2,3083.1915,35.375,2
13,11.95,3020.985,35.375,2
14,11.45,3019.493,35.375,2
15,27.5,3198.9934999999996,35.375,2
16,34.5,3034.6755000000003,35.375,2
17,24.75,2614.0895,35.375,2
18,0.0,1810.6805,35.375,2
19,2.5,3122.3720000000003,35.375,2
20,6.5,3213.9089999999997,35.375,2
21,9.0,3133.6195,35.375,2
22,2.5,3181.325,35.375,2
23,7.35,3140.796,35.375,2
24,11.0,2943.7225,35.375,2
25,31.95,3094.248,35.375,2
26,10.55,3174.2525,35.375,2
27,30.45,3174.5150000000003,35.375,2
28,11.5,3086.7435,35.375,2
29,12.5,3120.2405,35.375,2
30,10.0,3015.1665000000003,35.375,2
31,12.0,3183.151,35.375,2
