Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,9.45,2754.203,35.9375,2
1,18.0,2259.4415,35.9375,2
2,22.1,2176.2185,35.9375,2
3,26.0,2672.9825,35.9375,2
4,24.85,3168.4865,35.9375,2
5,28.5,3100.184,35.9375,2
6,39.6,2213.8705,35.9375,2
7,20.5,3072.8109999999997,35.9375,2
8,25.35,2612.212,35.9375,2
9,29.1,2757.264,35.9375,2
10,37.9,2463.192,35.9375,2
11,19.95,2271.236,35.9375,2
12,18.9,2467.5065,35.9375,2
13,31.1,2493.5615,35.9375,2
14,36.15,2870.3055,35.9375,2
15,43.35,2789.5325000000003,35.9375,2
16,47.7,3289.4045,35.9375,2
17,19.5,2326.551,35.9375,2
18,22.2,2177.7195,35.9375,2
19,21.15,2530.3035,35.9375,2
20,26.3,3071.873,35.9375,2
21,17.4,2841.0045,35.9375,2
22,34.5,2455.4395,35.9375,2
23,18.5,2583.5055,35.9375,2
24,21.7,2742.9534999999996,35.9375,2
25,36.25,2845.758,35.9375,2
26,21.6,3260.3514999999998,35.9375,2
27,23.8,2160.701,35.9375,2
28,34.5,3088.746,35.9375,2
29,20.8,2479.925,35.9375,2
30,19.5,2876.6994999999997,35.9375,2
31,20.2,3286.9930000000004,35.9375,2
