Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,0.0,1411.716,37.75
1,11.1,2440.694,37.75
2,11.2,1752.585,37.75
3,5.9,1501.871,37.75
4,12.1,1753.09,37.75
5,12.1,1756.826,37.75
6,12.2,2325.339,37.75
7,12.1,1709.666,37.75
8,12.1,1756.096,37.75
9,12.2,1749.617,37.75
10,0.0,3299.118,37.75
11,12.1,1758.398,37.75
12,11.1,1760.481,37.75
13,12.2,1754.537,37.75
14,9.1,2799.3,37.75
15,0.0,1369.929,37.75
16,14.1,1771.098,37.75
17,14.3,1775.206,37.75
18,0.0,1498.687,37.75
19,11.2,1779.775,37.75
20,43.0,3274.433,37.75
21,9.1,1464.743,37.75
22,58.0,1775.888,37.75
23,0.0,3300.337,37.75
24,0.0,1648.994,37.75
25,0.0,3300.342,37.75
26,28.0,3310.568,37.75
27,43.0,3300.084,37.75
28,11.2,1771.703,37.75
29,0.0,1466.605,37.75
30,0.0,3301.949,37.75
31,0.0,3201.928,37.75
32,11.2,1604.145,37.75
33,11.1,2440.806,37.75
34,0.0,3305.718,37.75
35,11.2,1652.82,37.75
36,0.0,3300.988,37.75
37,12.1,1757.534,37.75
38,12.2,2300.92,37.75
39,0.0,3302.595,37.75
40,12.1,1756.469,37.75
41,0.0,3293.986,37.75
42,11.2,1755.799,37.75
43,0.0,1446.496,37.75
44,11.1,1760.878,37.75
45,0.0,3289.646,37.75
46,94.9,2652.051,37.75
47,0.0,1371.178,37.75
48,0.0,1554.667,37.75
49,0.0,3299.844,37.75
50,1.0,1497.305,37.75
51,0.0,3294.305,37.75
52,9.2,3295.559,37.75
53,0.0,1466.639,37.75
54,1.0,2071.272,37.75
55,11.2,1773.698,37.75
56,0.0,2215.896,37.75
57,12.1,1772.255,37.75
58,33.0,3271.549,37.75
59,3.0,3297.633,37.75
60,1.0,3293.768,37.75
61,0.0,1465.399,37.75
62,12.2,1777.667,37.75
63,12.1,1786.498,37.75
