CPU_usage,Memory_info,DiskUsage,nWattsSupply,Moment
0.0,"svmem(total=540894633984, available=514315599872, percent=4.9, used=23038595072, free=368772796416, active=57816969216, inactive=103365316608, buffers=2552725504, cached=146530516992, shared=39157760, slab=7685918720)","sdiskusage(total=938517508096, used=394182561792, free=496585416704, percent=44.3)",-1,2025-03-12 20:39:33.025733
100.4,"svmem(total=540894633984, available=513987493888, percent=5.0, used=23366852608, free=368444682240, active=58120503296, inactive=103365623808, buffers=2552737792, cached=146530361344, shared=38985728, slab=7687327744)","sdiskusage(total=938517508096, used=394182582272, free=496585396224, percent=44.3)",-1,2025-03-12 20:39:35.337169
100.4,"svmem(total=540894633984, available=513269899264, percent=5.1, used=24084275200, free=367727071232, active=58828787712, inactive=103365341184, buffers=2552737792, cached=146530549760, shared=39157760, slab=7687901184)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:39:37.650878
100.2,"svmem(total=540894633984, available=512906461184, percent=5.2, used=24447713280, free=367363604480, active=59191607296, inactive=103365373952, buffers=2552737792, cached=146530578432, shared=39161856, slab=7687974912)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:39:39.963722
99.3,"svmem(total=540894633984, available=512479424512, percent=5.3, used=24868474880, free=366936535040, active=59573657600, inactive=103371657216, buffers=2552745984, cached=146536878080, shared=45412352, slab=7688544256)","sdiskusage(total=938517508096, used=394182594560, free=496585383936, percent=44.3)",-1,2025-03-12 20:39:42.280851
94.6,"svmem(total=540894633984, available=510576267264, percent=5.6, used=26765320192, free=365033336832, active=61418246144, inactive=103378010112, buffers=2552745984, cached=146543230976, shared=51744768, slab=7694422016)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:39:44.592543
100.1,"svmem(total=540894633984, available=510287634432, percent=5.7, used=27051606016, free=364744671232, active=61702139904, inactive=103380406272, buffers=2552745984, cached=146545610752, shared=54108160, slab=7695659008)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:39:46.907394
100.3,"svmem(total=540894633984, available=509029474304, percent=5.9, used=28307648512, free=363486511104, active=62954803200, inactive=103382503424, buffers=2552750080, cached=146547724288, shared=56205312, slab=7696281600)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:39:49.225083
93.2,"svmem(total=540894633984, available=508956246016, percent=5.9, used=28380889088, free=363413221376, active=63025344512, inactive=103382544384, buffers=2552758272, cached=146547765248, shared=56205312, slab=7697805312)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:39:51.533421
180.4,"svmem(total=540894633984, available=506871783424, percent=6.3, used=30465363968, free=361328721920, active=65110327296, inactive=103382577152, buffers=2552758272, cached=146547789824, shared=56205312, slab=7698579456)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:39:53.847907
739.2,"svmem(total=540894633984, available=506856001536, percent=6.3, used=30481117184, free=361312940032, active=65130192896, inactive=103382577152, buffers=2552770560, cached=146547806208, shared=56205312, slab=7698890752)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:39:56.158701
887.5,"svmem(total=540894633984, available=506839437312, percent=6.3, used=30497665024, free=361296310272, active=65148444672, inactive=103382609920, buffers=2552770560, cached=146547888128, shared=56205312, slab=7698567168)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:39:58.474000
588.2,"svmem(total=540894633984, available=506820214784, percent=6.3, used=30516871168, free=361277054976, active=65166200832, inactive=103382609920, buffers=2552770560, cached=146547937280, shared=56205312, slab=7699173376)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:00.786066
777.4,"svmem(total=540894633984, available=506820362240, percent=6.3, used=30516740096, free=361277169664, active=65167196160, inactive=103382642688, buffers=2552770560, cached=146547953664, shared=56205312, slab=7698735104)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:03.089831
670.2,"svmem(total=540894633984, available=506821234688, percent=6.3, used=30515855360, free=361277997056, active=65166897152, inactive=103382646784, buffers=2552770560, cached=146548011008, shared=56205312, slab=7698743296)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:05.395391
845.2,"svmem(total=540894633984, available=506818539520, percent=6.3, used=30518538240, free=361275297792, active=65167409152, inactive=103382650880, buffers=2552770560, cached=146548027392, shared=56205312, slab=7698710528)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:07.700006
675.9,"svmem(total=540894633984, available=506818564096, percent=6.3, used=30518509568, free=361275277312, active=65167667200, inactive=103382695936, buffers=2552770560, cached=146548076544, shared=56205312, slab=7699349504)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:10.010679
795.9,"svmem(total=540894633984, available=506816053248, percent=6.3, used=30520979456, free=361272758272, active=65168879616, inactive=103382704128, buffers=2552770560, cached=146548125696, shared=56205312, slab=7699496960)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:12.316246
566.9,"svmem(total=540894633984, available=506814103552, percent=6.3, used=30522945536, free=361270775808, active=65168826368, inactive=103382736896, buffers=2552770560, cached=146548142080, shared=56205312, slab=7699726336)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:14.625066
602.3,"svmem(total=540894633984, available=506797670400, percent=6.3, used=30539378688, free=361254326272, active=65186811904, inactive=103382753280, buffers=2552770560, cached=146548158464, shared=56205312, slab=7699742720)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:16.928977
877.1,"svmem(total=540894633984, available=506798456832, percent=6.3, used=30538575872, free=361255079936, active=65187155968, inactive=103382786048, buffers=2552770560, cached=146548207616, shared=56205312, slab=7699316736)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:19.233050
807.8,"svmem(total=540894633984, available=507450347520, percent=6.2, used=29886693376, free=361906937856, active=64547733504, inactive=103382818816, buffers=2552770560, cached=146548232192, shared=56205312, slab=7699660800)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:21.545822
641.0,"svmem(total=540894633984, available=507329609728, percent=6.2, used=30007554048, free=361785946112, active=64678887424, inactive=103383060480, buffers=2552770560, cached=146548363264, shared=56205312, slab=7698595840)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:23.880586
910.6,"svmem(total=540894633984, available=507320606720, percent=6.2, used=30016557056, free=361776926720, active=64684306432, inactive=103383076864, buffers=2552770560, cached=146548379648, shared=56205312, slab=7698530304)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:26.202964
698.1,"svmem(total=540894633984, available=507316527104, percent=6.2, used=30020620288, free=361772814336, active=64685789184, inactive=103383109632, buffers=2552770560, cached=146548428800, shared=56205312, slab=7698497536)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:28.516482
876.6,"svmem(total=540894633984, available=507312230400, percent=6.2, used=30024900608, free=361768517632, active=64689692672, inactive=103383109632, buffers=2552770560, cached=146548445184, shared=56205312, slab=7698595840)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:30.828441
847.5,"svmem(total=540894633984, available=507279007744, percent=6.2, used=30058119168, free=361735282688, active=64721969152, inactive=103383121920, buffers=2552770560, cached=146548461568, shared=56205312, slab=7700037632)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:33.143818
655.6,"svmem(total=540894633984, available=507292315648, percent=6.2, used=30044798976, free=361748553728, active=64710283264, inactive=103383158784, buffers=2552770560, cached=146548510720, shared=56205312, slab=7697956864)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:35.495335
802.4,"svmem(total=540894633984, available=507279724544, percent=6.2, used=30057398272, free=361735938048, active=64722685952, inactive=103383183360, buffers=2552770560, cached=146548527104, shared=56205312, slab=7698907136)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:37.811415
818.7,"svmem(total=540894633984, available=507271147520, percent=6.2, used=30065983488, free=361727336448, active=64728137728, inactive=103383207936, buffers=2552770560, cached=146548543488, shared=56205312, slab=7698964480)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:40.147871
707.0,"svmem(total=540894633984, available=507265650688, percent=6.2, used=30071480320, free=361721790464, active=64731635712, inactive=103383257088, buffers=2552770560, cached=146548592640, shared=56205312, slab=7698915328)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:42.472671
634.8,"svmem(total=540894633984, available=507253563392, percent=6.2, used=30083555328, free=361709694976, active=64742617088, inactive=103383265280, buffers=2552770560, cached=146548613120, shared=56205312, slab=7699234816)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:44.790418
588.4,"svmem(total=540894633984, available=507556528128, percent=6.2, used=29780582400, free=362012651520, active=64439279616, inactive=103383273472, buffers=2552770560, cached=146548629504, shared=56205312, slab=7698186240)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:47.126700
